Plot ,Image,Treatment (A vs B),Bare,Live,Old litter,Dead,Notes
691,3036,A,85,10,0,5,
691,3036,B ,30,35,15,20,
693,3037,A,8,90,0,2,
693,3037,B ,15,45,10,30,
695,3038,A,60,35,0,5,
695,3038,B ,10,55,10,25,
697,3039,A,75,23,0,2,
697,3039,B ,15,45,10,30,
699,3040,A,40,50,0,10,
699,3040,B ,10,45,15,30,
501,3051,A,83,5,0,2,
501,3051,B,62,25,3,10,
503,3052,A,93,6,0,1,
503,3052,B,75,15,0,10,
505,3053,A,90,8,0,2,
505,3053,B,75,15,0,10,
507,3054,A,91,6,0,3,
507,3054,B ,50,20,10,30,
509,3055,A,90,9,0,3,
509,3055,B ,30,40,5,25,
511,3056,A,91,7,0,2,
511,3056,B ,40,30,10,20,
513,3057,A,90,8,0,2,
513,3057,B ,58,30,2,10,
515,3058,A,90,5,0,5,
515,3058,B ,55,25,0,20,
517,3059,A,88,10,0,2,
517,3059,B ,50,28,2,20,
519,3060,A,93,5,0,2,
519,3060,B ,60,19,2,19,
521,3061,A,85,13,0,2,
521,3061,B ,35,30,5,30,
523,3062,A,94,5,0,1,
523,3062,B ,75,15,0,10,
525,3063,A,87,12,0,1,
525,3063,B ,50,30,5,15,
527,3064,A,93,6,0,1,
527,3064,B ,30,30,5,35,
529,3065,A,95,4,0,1,
529,3065,B ,15,55,5,25,
531,3066,A,91,7,0,2,
531,3066,B ,60,20,5,15,
533,3067,A,96,3,0,1,
533,3067,B ,35,30,10,25,
535,3068,A,95,4,0,1,
535,3068,B ,65,15,5,15,
539,3069,A,85,14,0,1,
539,3069,B ,20,35,20,25,
541,3070,A,92,7,0,1,
541,3070,B ,92,3,0,5,
543,3071,A,90,8,0,2,
543,3071,B ,70,10,5,15,
545,3072,A,80,18,0,2,
545,3072,B ,70,10,3,17,
547,3073,A,96,3,0,1,
547,3073,B ,55,15,10,20,
549,3074,A,77,20,0,3,
549,3074,B ,15,40,15,30,
951,3077,A,98,1,0,1,
951,3077,B,96,1,0,3,
953,3078,A,99,0,0,1,
953,3078,B,97,0,0,3,
955,3079,A,98,1,0,1,
955,3079,B,96,2,0,2,
957,3080,A,99,0,0,1,
957,3080,B ,65,30,0,5,
959,3082,A,91,7,0,2,
959,3082,B ,77,6,2,15,
961,3083,A,98,1,0,1,Large rocks in plot
961,3083,B ,94,3,0,3,Large rocks in plot
963,3084,A,95,4,0,1,
963,3084,B ,96,1,0,3,
965,3086,A,98,1,0,1,
965,3086,B ,96,2,0,2,
967,3087,A,99,0,0,1,
967,3087,B ,97,1,0,2,
969,3088,A,99,0,0,1,
969,3088,B ,98,0,0,2,
971,3089,A,97,2,0,1,
971,3089,B ,97,1,0,2,
973,3090,A,99,0,0,1,
973,3090,B ,97,1,0,2,
975,3091,A,97,2,0,1,
975,3091,B ,98,0,0,2,
977,3092,A,98,1,0,1,
977,3092,B ,96,1,0,3,
979,3093,A,97,2,0,1,
979,3093,B ,95,3,0,2,
981,3094,A,97,2,0,1,
